1769397841.528271 server started (2085773): version 3.4, socket /tmp/tmux-1000/default, protocol 8
1769397841.528299 on Linux 6.14.0-37-generic #37~24.04.1-Ubuntu SMP PREEMPT_DYNAMIC Thu Nov 20 10:25:38 UTC 2
1769397841.528308 using libevent 2.1.12-stable poll
1769397841.528312 using ncurses 6.4 20240113
1769397841.554205 args_parse_flags: next -n
1769397841.554208 args_parse_flags: -n
1769397841.554211 args_parse_flags: next M-MouseDown3Pane
1769397841.554214 args_parse: flags end at 2 of 4
1769397841.554217 args_parse: 2 = M-MouseDown3Pane (type STRING)
1769397841.554277 args_parse: 3 = display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } (type COMMANDS)
1769397841.554347 cmd_parse_build_commands: bind-key -n M-MouseDown3Pane { display-menu -T "#[align=centre]#{pane_index} (#{pane_id})" -t = -x M -y M "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Top,}" < { send-keys -X history-top } "#{?#{m/r:(copy|view)-mode,#{pane_mode}},Go To Bottom,}" > { send-keys -X history-bottom } '' "#{?mouse_word,Search For #[underscore]#{=/9/...:mouse_word},}" C-r { if-shell -F "#{?#{m/r:(copy|view)-mode,#{pane_mode}},0,1}" "copy-mode -t=" ; send-keys -X -t = search-backward "#{q:mouse_word}" } "#{?mouse_word,Type #[underscore]#{=/9/...:mouse_word},}" C-y { copy-mode -q ; send-keys -l "#{q:mouse_word}" } "#{?mouse_word,Copy #[underscore]#{=/9/...:mouse_word},}" c { copy-mode -q ; set-buffer "#{q:mouse_word}" } "#{?mouse_line,Copy Line,}" l { copy-mode -q ; set-buffer "#{q:mouse_line}" } '' "#{?mouse_hyperlink,Type #[underscore]#{=/9/...:mouse_hyperlink},}" C-h { copy-mode -q ; send-keys -l "#{q:mouse_hyperlink}" } "#{?mouse_hyperlink,Copy #[underscore]#{=/9/...:mouse_hyperlink},}" h { copy-mode -q ; set-buffer "#{q:mouse_hyperlink}" } '' "Horizontal Split" h { split-window -h } "Vertical Split" v { split-window -v } '' "#{?#{>:#{window_panes},1},,-}Swap Up" u { swap-pane -U } "#{?#{>:#{window_panes},1},,-}Swap Down" d { swap-pane -D } "#{?pane_marked_set,,-}Swap Marked" s { swap-pane } '' Kill X { kill-pane } Respawn R { respawn-pane -k } "#{?pane_marked,Unmark,Mark}" m { select-pane -m } "#{?#{>:#{window_panes},1},,-}#{?window_zoomed_flag,Unzoom,Zoom}" z { resize-pane -Z } }
1769397841.554357 cmdq_get_command: [bind-key/0x59216998d3f0] group 1209
1769397841.554360 cmdq_append <global>: [bind-key/0x59216998d3f0]
1769397841.554369 yylex_token: end at WS
1769397841.554371 yylex_token: bind
1769397841.554375 yylex_token: end at WS
1769397841.554377 yylex_token: -Tcopy-mode
1769397841.554380 yylex_token: end at WS
1769397841.554383 yylex_token: C-Space
1769397841.554386 yylex_token: end at WS
1769397841.554389 yylex_token: send
1769397841.554391 yylex_token: end at WS
1769397841.554394 yylex_token: -X
1769397841.554397 yylex_token: end at WS
1769397841.554400 yylex_token: begin-selection
1769397841.554404 cmd_parse_build_commands 0:0: bind
1769397841.554407 cmd_parse_build_commands 0:1: -Tcopy-mode
1769397841.554410 cmd_parse_build_commands 0:2: C-Space
1769397841.554413 cmd_parse_build_commands 0:3 0:0: send
1769397841.554416 cmd_parse_build_commands 0:3 0:1: -X
1769397841.554418 cmd_parse_build_commands 0:3 0:2: begin-selection
1769397841.554422 cmd_parse_build_commands 0:0: send
1769397841.554430 cmd_parse_build_commands 0:1: -X
1769397841.554435 cmd_parse_build_commands 0:2: begin-selection
1769397841.554439 args_parse_flags: next -X
1769397841.554442 args_parse_flags: -X
1769397841.554445 args_parse_flags: next begin-selection
1769397841.554448 args_parse: flags end at 2 of 3
1769397841.554451 args_parse: 2 = begin-selection (type STRING)
1769397841.554455 cmd_parse_build_commands: send-keys -X begin-selection
1769397841.554458 args_parse_flags: next -Tcopy-mode
1769397841.554461 args_parse_flag_argument: -T = copy-mode
1769397841.554464 args_parse_flags: next C-Space
1769397841.554467 args_parse: flags end at 2 of 4
1769397841.554470 args_parse: 2 = C-Space (type STRING)
1769397841.554478 args_parse: 3 = send-keys -X begin-selection (type COMMANDS)
1769397841.554485 cmd_parse_build_commands: bind-key -T copy-mode C-Space { send-keys -X begin-selection }
1769397841.554489 cmdq_get_command: [bind-key/0x592169985d60] group 1291
1769397841.554492 cmdq_append <global>: [bind-key/0x592169985d60]
1769397841.554496 yylex_token: end at WS
1769397841.554498 yylex_token: bind
1769397841.554502 yylex_token: end at WS
1769397841.554504 yylex_token: -Tcopy-mode
1769397841.554507 yylex_token: end at WS
1769397841.554510 yylex_token: C-a
1769397841.554512 yylex_token: end at WS
1769397841.554515 yylex_token: send
1769397841.554518 yylex_token: end at WS
1769397841.554520 yylex_token: -X
1769397841.554523 yylex_token: end at WS
1769397841.554526 yylex_token: start-of-line
1769397841.554530 cmd_parse_build_commands 0:0: bind
1769397841.554533 cmd_parse_build_commands 0:1: -Tcopy-mode
1769397841.554536 cmd_parse_build_commands 0:2: C-a
1769397841.554539 cmd_parse_build_commands 0:3 0:0: send
1769397841.554541 cmd_parse_build_commands 0:3 0:1: -X
1769397841.554544 cmd_parse_build_commands 0:3 0:2: start-of-line
1769397841.554548 cmd_parse_build_commands 0:0: send
1769397841.554550 cmd_parse_build_commands 0:1: -X
1769397841.554553 cmd_parse_build_commands 0:2: start-of-line
1769397841.554557 args_parse_flags: next -X
1769397841.554560 args_parse_flags: -X
1769397841.554563 args_parse_flags: next start-of-line
1769397841.554566 args_parse: flags end at 2 of 3
1769397841.554569 args_parse: 2 = start-of-line (type STRING)
1769397841.554573 cmd_parse_build_commands: send-keys -X start-of-line
1769397841.554576 args_parse_flags: next -Tcopy-mode
1769397841.554579 args_parse_flag_argument: -T = copy-mode
1769397841.554581 args_parse_flags: next C-a
1769397841.554584 args_parse: flags end at 2 of 4
1769397841.554587 args_parse: 2 = C-a (type STRING)
1769397841.554591 args_parse: 3 = send-keys -X start-of-line (type COMMANDS)
1769397841.554597 cmd_parse_build_commands: bind-key -T copy-mode C-a { send-keys -X start-of-line }
1769397841.554601 cmdq_get_command: [bind-key/0x592169982010] group 1299
1769397841.554604 cmdq_append <global>: [bind-key/0x592169982010]
1769397841.554608 yylex_token: end at WS
1769397841.554610 yylex_token: bind
1769397841.554614 yylex_token: end at WS
1769397841.554616 yylex_token: -Tcopy-mode
1769397841.554619 yylex_token: end at WS
1769397841.554622 yylex_token: C-c
1769397841.554624 yylex_token: end at WS
1769397841.554627 yylex_token: send
1769397841.554630 yylex_token: end at WS
1769397841.554632 yylex_token: -X
1769397841.554635 yylex_token: end at WS
1769397841.554638 yylex_token: cancel
1769397841.554641 cmd_parse_build_commands 0:0: bind
1769397841.554644 cmd_parse_build_commands 0:1: -Tcopy-mode
1769397841.554647 cmd_parse_build_commands 0:2: C-c
1769397841.554650 cmd_parse_build_commands 0:3 0:0: send
1769397841.554653 cmd_parse_build_commands 0:3 0:1: -X
1769397841.554655 cmd_parse_build_commands 0:3 0:2: cancel
1769397841.554659 cmd_parse_build_commands 0:0: send
1769397841.554661 cmd_parse_build_commands 0:1: -X
1769397841.554664 cmd_parse_build_commands 0:2: cancel
1769397841.554668 args_parse_flags: next -X
1769397841.554671 args_parse_flags: -X
1769397841.554673 args_parse_flags: next cancel
1769397841.554676 args_parse: flags end at 2 of 3
1769397841.554679 args_parse: 2 = cancel (type STRING)
1769397841.554683 cmd_parse_build_commands: send-keys -X cancel
1769397841.554686 args_parse_flags: next -Tcopy-mode
1769397841.554689 args_parse_flag_argument: -T = copy-mode
1769397841.554692 args_parse_flags: next C-c
1769397841.554695 args_parse: flags end at 2 of 4
1769397841.554697 args_parse: 2 = C-c (type STRING)
1769397841.554701 args_parse: 3 = send-keys -X cancel (type COMMANDS)
1769397841.554707 cmd_parse_build_commands: bind-key -T copy-mode C-c { send-keys -X cancel }
1769397841.554711 cmdq_get_command: [bind-key/0x592169981370] group 1307
1769397841.554713 cmdq_append <global>: [bind-key/0x592169981370]
1769397841.554718 yylex_token: end at WS
1769397841.554720 yylex_token: bind
1769397841.554727 yylex_token: end at WS
1769397841.554729 yylex_token: -Tcopy-mode
1769397841.554732 yylex_token: end at WS
1769397841.554735 yylex_token: C-e
1769397841.554738 yylex_token: end at WS
1769397841.554740 yylex_token: send
1769397841.554743 yylex_token: end at WS
1769397841.554746 yylex_token: -X
1769397841.554749 yylex_token: end at WS
1769397841.554751 yylex_token: end-of-line
1769397841.554755 cmd_parse_build_commands 0:0: bind
1769397841.554757 cmd_parse_build_commands 0:1: -Tcopy-mode
1769397841.554760 cmd_parse_build_commands 0:2: C-e
1769397841.554763 cmd_parse_build_commands 0:3 0:0: send
1769397841.554766 cmd_parse_build_commands 0:3 0:1: -X
1769397841.554769 cmd_parse_build_commands 0:3 0:2: end-of-line
1769397841.554772 cmd_parse_build_commands 0:0: send
1769397841.554775 cmd_parse_build_commands 0:1: -X
1769397841.554778 cmd_parse_build_commands 0:2: end-of-line
1769397841.554782 args_parse_flags: next -X
1769397841.554784 args_parse_flags: -X
1769397841.554787 args_parse_flags: next end-of-line
1769397841.554790 args_parse: flags end at 2 of 3
1769397841.554793 args_parse: 2 = end-of-line (type STRING)
1769397841.554797 cmd_parse_build_commands: send-keys -X end-of-line
1769397841.554800 args_parse_flags: next -Tcopy-mode
1769397841.554803 args_parse_flag_argument: -T = copy-mode
1769397841.554805 args_parse_flags: next C-e
1769397841.554808 args_parse: flags end at 2 of 4
1769397841.554811 args_parse: 2 = C-e (type STRING)
1769397841.554815 args_parse: 3 = send-keys -X end-of-line (type COMMANDS)
1769397841.554821 cmd_parse_build_commands: bind-key -T copy-mode C-e { send-keys -X end-of-line }
1769397841.554824 cmdq_get_command: [bind-key/0x59216998b7f0] group 1315
1769397841.554827 cmdq_append <global>: [bind-key/0x59216998b7f0]
1769397841.554831 yylex_token: end at WS
1769397841.554834 yylex_token: bind
1769397841.554837 yylex_token: end at WS
1769397841.554840 yylex_token: -Tcopy-mode
1769397841.554842 yylex_token: end at WS
1769397841.554845 yylex_token: C-f
1769397841.554848 yylex_token: end at WS
1769397841.554850 yylex_token: send
1769397841.554853 yylex_token: end at WS
1769397841.554855 yylex_token: -X
1769397841.554859 yylex_token: end at WS
1769397841.554861 yylex_token: cursor-right
1769397841.554865 cmd_parse_build_commands 0:0: bind
1769397841.554867 cmd_parse_build_commands 0:1: -Tcopy-mode
1769397841.554870 cmd_parse_build_commands 0:2: C-f
1769397841.554873 cmd_parse_build_commands 0:3 0:0: send
1769397841.554876 cmd_parse_build_commands 0:3 0:1: -X
1769397841.554879 cmd_parse_build_commands 0:3 0:2: cursor-right
1769397841.554882 cmd_parse_build_commands 0:0: send
1769397841.554885 cmd_parse_build_commands 0:1: -X
1769397841.554887 cmd_parse_build_commands 0:2: cursor-right
1769397841.554891 args_parse_flags: next -X
1769397841.554894 args_parse_flags: -X
1769397841.554897 args_parse_flags: next cursor-right
1769397841.554899 args_parse: flags end at 2 of 3
1769397841.554902 args_parse: 2 = cursor-right (type STRING)
1769397841.554906 cmd_parse_build_commands: send-keys -X cursor-right
1769397841.554909 args_parse_flags: next -Tcopy-mode
1769397841.554912 args_parse_flag_argument: -T = copy-mode
1769397841.554915 args_parse_flags: next C-f
1769397841.554918 args_parse: flags end at 2 of 4
1769397841.554920 args_parse: 2 = C-f (type STRING)
1769397841.554924 args_parse: 3 = send-keys -X cursor-right (type COMMANDS)
1769397841.554930 cmd_parse_build_commands: bind-key -T copy-mode C-f { send-keys -X cursor-right }
1769397841.554933 cmdq_get_command: [bind-key/0x592169985680] group 1323
1769397841.554936 cmdq_append <global>: [bind-key/0x592169985680]
1769397841.554940 yylex_token: end at WS
1769397841.554943 yylex_token: bind
1769397841.554946 yylex_token: end at WS
1769397841.554949 yylex_token: -Tcopy-mode
1769397841.554951 yylex_token: end at WS
1769397841.554954 yylex_token: C-b
1769397841.554957 yylex_token: end at WS
1769397841.554959 yylex_token: send
1769397841.554962 yylex_token: end at WS
1769397841.554965 yylex_token: -X
1769397841.554967 yylex_token: end at WS
1769397841.554973 yylex_token: cursor-left
1769397841.554977 cmd_parse_build_commands 0:0: bind
1769397841.554980 cmd_parse_build_commands 0:1: -Tcopy-mode
1769397841.554982 cmd_parse_build_commands 0:2: C-b
1769397841.554985 cmd_parse_build_commands 0:3 0:0: send
1769397841.554988 cmd_parse_build_commands 0:3 0:1: -X
1769397841.554991 cmd_parse_build_commands 0:3 0:2: cursor-left
1769397841.554994 cmd_parse_build_commands 0:0: send
1769397841.554997 cmd_parse_build_commands 0:1: -X
1769397841.555014 cmd_parse_build_commands 0:2: cursor-left
1769397841.555018 args_parse_flags: next -X
1769397841.555021 args_parse_flags: -X
1769397841.555037 args_parse_flags: next cursor-left
1769397841.555040 args_parse: flags end at 2 of 3
1769397841.555043 args_parse: 2 = cursor-left (type STRING)
1769397841.555047 cmd_parse_build_commands: send-keys -X cursor-left
1769397841.555050 args_parse_flags: next -Tcopy-mode
1769397841.555053 args_parse_flag_argument: -T = copy-mode
1769397841.555056 args_parse_flags: next C-b
1769397841.555058 args_parse: flags end at 2 of 4
1769397841.555061 args_parse: 2 = C-b (type STRING)
1769397841.555065 args_parse: 3 = send-keys -X cursor-left (type COMMANDS)
1769397841.555071 cmd_parse_build_commands: bind-key -T copy-mode C-b { send-keys -X cursor-left }
1769397841.555075 cmdq_get_command: [bind-key/0x59216998c770] group 1331
1769397841.555078 cmdq_append <global>: [bind-key/0x59216998c770]
1769397841.555082 yylex_token: end at WS
1769397841.555085 yylex_token: bind
1769397841.555088 yylex_token: end at WS
1769397841.555091 yylex_token: -Tcopy-mode
1769397841.555094 yylex_token: end at WS
1769397841.555096 yylex_token: C-g
1769397841.555099 yylex_token: end at WS
1769397841.555102 yylex_token: send
1769397841.555104 yylex_token: end at WS
1769397841.555107 yylex_token: -X
1769397841.555110 yylex_token: end at WS
1769397841.555113 yylex_token: clear-selection
1769397841.555129 cmd_parse_build_commands 0:0: bind
1769397841.555132 cmd_parse_build_commands 0:1: -Tcopy-mode
1769397841.555134 cmd_parse_build_commands 0:2: C-g
1769397841.555137 cmd_parse_build_commands 0:3 0:0: send
1769397841.555140 cmd_parse_build_commands 0:3 0:1: -X
1769397841.555143 cmd_parse_build_commands 0:3 0:2: clear-selection
1769397841.555146 cmd_parse_build_commands 0:0: send
1769397841.555149 cmd_parse_build_commands 0:1: -X
1769397841.555152 cmd_parse_build_commands 0:2: clear-selection
1769397841.555156 args_parse_flags: next -X
1769397841.555158 args_parse_flags: -X
1769397841.555161 args_parse_flags: next clear-selection
1769397841.555164 args_parse: flags end at 2 of 3
1769397841.555167 args_parse: 2 = clear-selection (type STRING)
1769397841.555171 cmd_parse_build_commands: send-keys -X clear-selection
1769397841.555174 args_parse_flags: next -Tcopy-mode
1769397841.555177 args_parse_flag_argument: -T = copy-mode
1769397841.555179 args_parse_flags: next C-g
1769397841.555182 args_parse: flags end at 2 of 4
1769397841.555185 args_parse: 2 = C-g (type STRING)
1769397841.555189 args_parse: 3 = send-keys -X clear-selection (type COMMANDS)
1769397841.555195 cmd_parse_build_commands: bind-key -T copy-mode C-g { send-keys -X clear-selection }
1769397841.555198 cmdq_get_command: [bind-key/0x592169990340] group 1339
1769397841.555201 cmdq_append <global>: [bind-key/0x592169990340]
1769397841.555205 yylex_token: end at WS
1769397841.555208 yylex_token: bind
1769397841.555211 yylex_token: end at WS
1769397841.555214 yylex_token: -Tcopy-mode
1769397841.555217 yylex_token: end at WS
1769397841.555219 yylex_token: C-k
1769397841.555222 yylex_token: end at WS
1769397841.555224 yylex_token: send
1769397841.555227 yylex_token: end at WS
1769397841.555230 yylex_token: -X
1769397841.555233 yylex_token: end at WS
1769397841.555236 yylex_token: copy-pipe-end-of-line-and-cancel
1769397841.555239 cmd_parse_build_commands 0:0: bind
1769397841.555242 cmd_parse_build_commands 0:1: -Tcopy-mode
1769397841.555245 cmd_parse_build_commands 0:2: C-k
1769397841.555248 cmd_parse_build_commands 0:3 0:0: send
1769397841.555251 cmd_parse_build_commands 0:3 0:1: -X
1769397841.555257 cmd_parse_build_commands 0:3 0:2: copy-pipe-end-of-line-and-cancel
1769397841.555260 cmd_parse_build_commands 0:0: send
1769397841.555263 cmd_parse_build_commands 0:1: -X
1769397841.555266 cmd_parse_build_commands 0:2: copy-pipe-end-of-line-and-cancel
1769397841.555270 args_parse_flags: next -X
1769397841.555273 args_parse_flags: -X
1769397841.555276 args_parse_flags: next copy-pipe-end-of-line-and-cancel
1769397841.555278 args_parse: flags end at 2 of 3
1769397841.555282 args_parse: 2 = copy-pipe-end-of-line-and-cancel (type STRING)
1769397841.555286 cmd_parse_build_commands: send-keys -X copy-pipe-end-of-line-and-cancel
1769397841.555289 args_parse_flags: next -Tcopy-mode
1769397841.555292 args_parse_flag_argument: -T = copy-mode
1769397841.555295 args_parse_flags: next C-k
1769397841.555298 args_parse: flags end at 2 of 4
1769397841.555301 args_parse: 2 = C-k (type STRING)
1769397841.555306 args_parse: 3 = send-keys -X copy-pipe-end-of-line-and-cancel (type COMMANDS)
1769397841.555312 cmd_parse_build_commands: bind-key -T copy-mode C-k { send-keys -X copy-pipe-end-of-line-and-cancel }
1769397841.555316 cmdq_get_command: [bind-key/0x59216998ee70] group 1347
1769397841.555319 cmdq_append <global>: [bind-key/0x59216998ee70]
1769397841.555323 yylex_token: end at WS
1769397841.555325 yylex_token: bind
1769397841.555328 yylex_token: end at WS
1769397841.555331 yylex_token: -Tcopy-mode
1769397841.555334 yylex_token: end at WS
1769397841.555336 yylex_token: C-n
1769397841.555339 yylex_token: end at WS
1769397841.555342 yylex_token: send
1769397841.555344 yylex_token: end at WS
1769397841.555347 yylex_token: -X
1769397841.555350 yylex_token: end at WS
1769397841.555353 yylex_token: cursor-down
1769397841.555356 cmd_parse_build_commands 0:0: bind
1769397841.555359 cmd_parse_build_commands 0:1: -Tcopy-mode
1769397841.555362 cmd_parse_build_commands 0:2: C-n
1769397841.555365 cmd_parse_build_commands 0:3 0:0: send
1769397841.555367 cmd_parse_build_commands 0:3 0:1: -X
1769397841.555370 cmd_parse_build_commands 0:3 0:2: cursor-down
1769397841.555374 cmd_parse_build_commands 0:0: send
1769397841.555376 cmd_parse_build_commands 0:1: -X
1769397841.555379 cmd_parse_build_commands 0:2: cursor-down
1769397841.555384 args_parse_flags: next -X
1769397841.555386 args_parse_flags: -X
1769397841.555389 args_parse_flags: next cursor-down
1769397841.555392 args_parse: flags end at 2 of 3
1769397841.555395 args_parse: 2 = cursor-down (type STRING)
1769397841.555399 cmd_parse_build_commands: send-keys -X cursor-down
1769397841.555402 args_parse_flags: next -Tcopy-mode
1769397841.555405 args_parse_flag_argument: -T = copy-mode
1769397841.555408 args_parse_flags: next C-n
1769397841.555410 args_parse: flags end at 2 of 4
1769397841.555413 args_parse: 2 = C-n (type STRING)
1769397841.555417 args_parse: 3 = send-keys -X cursor-down (type COMMANDS)
1769397841.555423 cmd_parse_build_commands: bind-key -T copy-mode C-n { send-keys -X cursor-down }
1769397841.555448 cmdq_get_command: [bind-key/0x59216998f5a0] group 1355
1769397841.555467 cmdq_append <global>: [bind-key/0x59216998f5a0]
1769397841.555471 yylex_token: end at WS
1769397841.555487 yylex_token: bind
1769397841.555490 yylex_token: end at WS
1769397841.555493 yylex_token: -Tcopy-mode
1769397841.555496 yylex_token: end at WS
1769397841.555499 yylex_token: C-p
1769397841.555502 yylex_token: end at WS
1769397841.555505 yylex_token: send
1769397841.555521 yylex_token: end at WS
1769397841.555524 yylex_token: -X
1769397841.555527 yylex_token: end at WS
1769397841.555530 yylex_token: cursor-up
1769397841.555533 cmd_parse_build_commands 0:0: bind
1769397841.555536 cmd_parse_build_commands 0:1: -Tcopy-mode
1769397841.555539 cmd_parse_build_commands 0:2: C-p
1769397841.555542 cmd_parse_build_commands 0:3 0:0: send
1769397841.555545 cmd_parse_build_commands 0:3 0:1: -X
1769397841.555548 cmd_parse_build_commands 0:3 0:2: cursor-up
1769397841.555551 cmd_parse_build_commands 0:0: send
1769397841.555554 cmd_parse_build_commands 0:1: -X
1769397841.555557 cmd_parse_build_commands 0:2: cursor-up
1769397841.555565 args_parse_flags: next -X
1769397841.555568 args_parse_flags: -X
1769397841.555571 args_parse_flags: next cursor-up
1769397841.555574 args_parse: flags end at 2 of 3
1769397841.555577 args_parse: 2 = cursor-up (type STRING)
1769397841.555581 cmd_parse_build_commands: send-keys -X cursor-up
1769397841.555597 args_parse_flags: next -Tcopy-mode
1769397841.555600 args_parse_flag_argument: -T = copy-mode
1769397841.555602 args_parse_flags: next C-p
1769397841.555605 args_parse: flags end at 2 of 4
1769397841.555608 args_parse: 2 = C-p (type STRING)
1769397841.555612 args_parse: 3 = send-keys -X cursor-up (type COMMANDS)
1769397841.555618 cmd_parse_build_commands: bind-key -T copy-mode C-p { send-keys -X cursor-up }
1769397841.555622 cmdq_get_command: [bind-key/0x59216998f290] group 1363
1769397841.555625 cmdq_append <global>: [bind-key/0x59216998f290]
1769397841.555628 yylex_token: end at WS
1769397841.555631 yylex_token: bind
1769397841.555634 yylex_token: end at WS
1769397841.555637 yylex_token: -Tcopy-mode
1769397841.555640 yylex_token: end at WS
1769397841.555642 yylex_token: C-r
1769397841.555645 yylex_token: end at WS
1769397841.555648 yylex_token: command-prompt
1769397841.555650 yylex_token: end at WS
1769397841.555653 yylex_token: -T
1769397841.555656 yylex_token: end at WS
1769397841.555658 yylex_token: search
1769397841.555662 yylex_token: end at WS
1769397841.555664 yylex_token: -ip(search up)
1769397841.555668 yylex_token: end at WS
1769397841.555670 yylex_token: -I#{pane_search_string}
1769397841.555673 yylex_token: end at WS
1769397841.555676 yylex_token: send
1769397841.555678 yylex_token: end at WS
1769397841.555681 yylex_token: -X
1769397841.555684 yylex_token: end at WS
1769397841.555687 yylex_token: search-backward-incremental
1769397841.555690 yylex_token: end at WS
1769397841.555692 yylex_token: %%
1769397841.555696 cmd_parse_build_commands 0:0: bind
1769397841.555699 cmd_parse_build_commands 0:1: -Tcopy-mode
1769397841.555702 cmd_parse_build_commands 0:2: C-r
1769397841.555705 cmd_parse_build_commands 0:3 0:0: command-prompt
1769397841.555708 cmd_parse_build_commands 0:3 0:1: -T
1769397841.555711 cmd_parse_build_commands 0:3 0:2: search
1769397841.555713 cmd_parse_build_commands 0:3 0:3: -ip(search up)
1769397841.555716 cmd_parse_build_commands 0:3 0:4: -I#{pane_search_string}
1769397841.555720 cmd_parse_build_commands 0:3 0:5 0:0: send
1769397841.555723 cmd_parse_build_commands 0:3 0:5 0:1: -X
1769397841.555726 cmd_parse_build_commands 0:3 0:5 0:2: search-backward-incremental
1769397841.555729 cmd_parse_build_commands 0:3 0:5 0:3: %%
1769397841.555732 cmd_parse_build_commands 0:0: command-prompt
1769397841.555735 cmd_parse_build_commands 0:1: -T
1769397841.555738 cmd_parse_build_commands 0:2: search
1769397841.555741 cmd_parse_build_commands 0:3: -ip(search up)
1769397841.555744 cmd_parse_build_commands 0:4: -I#{pane_search_string}
1769397841.555747 cmd_parse_build_commands 0:5 0:0: send
1769397841.555749 cmd_parse_build_commands 0:5 0:1: -X
1769397841.555752 cmd_parse_build_commands 0:5 0:2: search-backward-incremental
1769397841.555755 cmd_parse_build_commands 0:5 0:3: %%
1769397841.555759 cmd_parse_build_commands 0:0: send
1769397841.555762 cmd_parse_build_commands 0:1: -X
1769397841.555765 cmd_parse_build_commands 0:2: search-backward-incremental
1769397841.555768 cmd_parse_build_commands 0:3: %%
1769397841.555772 args_parse_flags: next -X
1769397841.555775 args_parse_flags: -X
1769397841.555778 args_parse_flags: next search-backward-incremental
1769397841.555781 args_parse: flags end at 2 of 4
1769397841.555784 args_parse: 2 = search-backward-incremental (type STRING)
1769397841.555787 args_parse: 3 = %% (type STRING)
1769397841.555792 cmd_parse_build_commands: send-keys -X search-backward-incremental "%%"
1769397841.555795 args_parse_flags: next -T
1769397841.555798 args_parse_flag_argument: -T = search
1769397841.555801 args_parse_flags: next -ip(search up)
1769397841.555804 args_parse_flags: -i
1769397841.555807 args_parse_flag_argument: -p = (search up)
1769397841.555810 args_parse_flags: next -I#{pane_search_string}
1769397841.555816 args_parse_flag_argument: -I = #{pane_search_string}
1769397841.555819 args_parse: flags end at 5 of 6
1769397841.555825 args_parse: 5 = send-keys -X search-backward-incremental "%%" (type COMMANDS)
1769397841.555834 cmd_parse_build_commands: command-prompt -i -I "#{pane_search_string}" -T search -p "(search up)" { send-keys -X search-backward-incremental "%%" }
1769397841.555837 args_parse_flags: next -Tcopy-mode
1769397841.555840 args_parse_flag_argument: -T = copy-mode
1769397841.555843 args_parse_flags: next C-r
1769397841.555846 args_parse: flags end at 2 of 4
1769397841.555849 args_parse: 2 = C-r (type STRING)
1769397841.555857 args_parse: 3 = command-prompt -i -I "#{pane_search_string}" -T search -p "(search up)" { send-keys -X search-backward-incremental "%%" } (type COMMANDS)
1769397841.555868 cmd_parse_build_commands: bind-key -T copy-mode C-r { command-prompt -i -I "#{pane_search_string}" -T search -p "(search up)" { send-keys -X search-backward-incremental "%%" } }
1769397841.555873 cmdq_get_command: [bind-key/0x59216998f6d0] group 1371
1769397841.555876 cmdq_append <global>: [bind-key/0x59216998f6d0]
1769397841.555879 yylex_token: end at WS
1769397841.555882 yylex_token: bind
1769397841.555885 yylex_token: end at WS
1769397841.555888 yylex_token: -Tcopy-mode
1769397841.555891 yylex_token: end at WS
1769397841.555893 yylex_token: C-s
1769397841.555896 yylex_token: end at WS
1769397841.555899 yylex_token: command-prompt
1769397841.555902 yylex_token: end at WS
1769397841.555904 yylex_token: -T
1769397841.555907 yylex_token: end at WS
1769397841.555910 yylex_token: search
1769397841.555913 yylex_token: end at WS
1769397841.555916 yylex_token: -ip(search down)
1769397841.555919 yylex_token: end at WS
1769397841.555922 yylex_token: -I#{pane_search_string}
1769397841.555925 yylex_token: end at WS
1769397841.555927 yylex_token: send
1769397841.555930 yylex_token: end at WS
1769397841.555932 yylex_token: -X
1769397841.555936 yylex_token: end at WS
1769397841.555939 yylex_token: search-forward-incremental
